"<track>Tracking 2</track>",Orders,Customers,"New Customers","New Customers Rate",Offers,"Offers Per Order","Initial Cart Gross Product Revenue","Initial Cart Discounts","Initial Cart Rewards","Initial Cart Shipping","Initial Cart Tax","Initial Cart Revenue","Average Initial Cart Revenue",Upsells,"Upsell Rate","Upsells Per Order","Upsell Gross Product Revenue","Upsell Discounts","Upsell Rewards","Upsell Shipping","Upsell Tax","Upsell Revenue","Total Cart Offers","Total Cart Offers Per Order","Total Cart Gross Product Revenue","Total Cart Discounts","Total Cart Rewards","Total Cart Shipping","Total Cart Tax","Total Cart Revenue","Total Average Cart Revenue",Subscriptions,Active,"Retention Rate","First Renewals","First Renewal Rate","Average Renewal Cycle","Renewal Revenue","Average Renewal Revenue","Total Offers and Renewals","Total Revenue","Average Total Revenue","Average Total Revenue Per Customer",Adjustments,"Adjustment Rate",Refunds,"Offer Refund Rate","Refunded Revenue","Refunded Revenue Rate",Voids,"Offer Void Rate","Voided Revenue","Void Revenue Rate",Chargebacks,"Offer Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Offer Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Average Net Revenue Per Customer","Cost of Revenue","Cost of Goods Sold","Ad Spend","Ad Spend Rate","Chargeback Fees","Chargeback Fees Rate","Alert Fees","Alert Fees Rate","Processing Fees","Processing Fees Rate",Profit,"Profit Margin","Profit Per Order","Profit Per Customer","Tax Collected","Gift Cards Applied",Processed
"Coleman Saluspa Hot Tub",3,3,2,66.67%,3,1.00,$85.74,$0.00,$0.00,$0.00,$0.00,$85.74,$28.58,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3,1.00,$85.74,$0.00,$0.00,$0.00,$0.00,$85.74,$28.58,3,1,33.33%,0,0.00%,0.00,$0.00,$0.00,3,$85.74,$28.58,$28.58,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$85.74,$28.58,$4.89,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$4.89,5.70%,$80.85,94.30%,$26.95,$26.95,$0.00,$0.00,$85.74
"Cub Cadet Lawn Tractor",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"Cub Cadet Zero Turn Lawn Mower",37,37,36,97.30%,37,1.00,$489.05,$0.00,$0.00,$0.00,$0.00,$489.05,$13.22,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,37,1.00,$489.05,$0.00,$0.00,$0.00,$0.00,$489.05,$13.22,37,11,29.73%,11,29.73%,0.30,"$1,087.79","$1,087.79",48,"$1,576.84",$42.62,$42.62,$12.89,0.82%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,2.08%,$12.89,0.82%,"$1,563.95",$42.27,$88.24,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$88.24,5.60%,"$1,475.71",93.59%,$39.88,$39.88,$0.00,$0.00,"$1,576.84"
"Daytona Car Jack Purple",11,9,9,81.82%,11,1.00,$211.69,$0.00,$0.00,$0.00,$0.00,$211.69,$19.24,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11,1.00,$211.69,$0.00,$0.00,$0.00,$0.00,$211.69,$19.24,11,5,45.45%,3,27.27%,0.27,$296.67,$296.67,14,$508.36,$46.21,$56.48,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$508.36,$56.48,$28.16,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$28.16,5.54%,$480.20,94.46%,$43.65,$53.36,$0.00,$0.00,$508.36
"Daytona Floor Jack",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"DeWalt Lawn Mower",32,32,31,96.88%,32,1.00,$430.66,$0.00,$0.00,$0.00,$0.00,$430.66,$13.46,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,32,1.00,$430.66,$0.00,$0.00,$0.00,$0.00,$430.66,$13.46,32,9,28.13%,7,21.88%,0.22,$692.23,$692.23,39,"$1,122.89",$35.09,$35.09,$12.89,1.15%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,2.56%,$12.89,1.15%,"$1,110.00",$34.69,$63.79,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$63.79,5.68%,"$1,046.21",93.17%,$32.69,$32.69,$0.00,$0.00,"$1,122.89"
"Dewalt Drill Set",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,0,0.00%,0,0.00%,0.00,$0.00,$0.00,1,$12.89,$12.89,$12.89,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$12.89,$12.89,$0.84,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$0.84,6.52%,$12.05,93.48%,$12.05,$12.05,$0.00,$0.00,$12.89
"EGO Mini Bike",253,225,221,87.35%,253,1.00,"$4,400.57",$0.00,$0.00,$0.00,$0.00,"$4,400.57",$17.39,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,253,1.00,"$4,400.57",$0.00,$0.00,$0.00,$0.00,"$4,400.57",$17.39,253,78,30.83%,46,18.18%,0.18,"$4,548.94","$4,548.94",299,"$8,949.51",$35.37,$39.78,"$1,297.09",14.49%,2,0.67%,$54.47,0.61%,7,2.34%,$211.18,2.36%,0,0.00%,$0.00,0.00%,22,7.36%,"$1,031.44",11.53%,"$7,652.42",$34.01,$464.99,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$464.99,5.20%,"$7,187.43",80.31%,$28.41,$31.94,$0.00,$0.00,"$8,949.51"
"EGO Power Mini Bike",8,8,8,100.00%,8,1.00,$103.12,$0.00,$0.00,$0.00,$0.00,$103.12,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8,1.00,$103.12,$0.00,$0.00,$0.00,$0.00,$103.12,$12.89,8,2,25.00%,2,25.00%,0.25,$197.78,$197.78,10,$300.90,$37.61,$37.61,$12.89,4.28%,1,10.00%,$12.89,4.28%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$288.01,$36.00,$17.00,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$17.00,5.65%,$271.01,90.07%,$33.88,$33.88,$0.00,$0.00,$300.90
"ERROR - NO PARAMETER",1,1,1,100.00%,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1,1.00,$12.89,$0.00,$0.00,$0.00,$0.00,$12.89,$12.89,1,1,100.00%,1,100.00%,1.00,$98.89,$98.89,2,$111.78,$111.78,$111.78,$111.78,100.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,2,100.00%,$111.78,100.00%,$0.00,$0.00,$5.98,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$5.98,5.35%,$-5.98,-5.35%,$-5.98,$-5.98,$0.00,$0.00,$111.78
"Evolution Tackle Fishing Bag",2,2,1,50.00%,2,1.00,$66.79,$0.00,$0.00,$0.00,$0.00,$66.79,$33.40,0,0.00%,0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2,1.00,$66.79,$0.00,$0.00,$0.00,$0.00,$66.79,$33.40,2,1,50.00%,0,0.00%,0.00,$0.00,$0.00,2,$66.79,$33.40,$33.40,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$66.79,$33.40,$3.74,$0.00,$0.00,0.00%,$0.00,0.00%,$0.00,0.00%,$3.74,5.60%,$63.05,94.40%,$31.53,$31.53,$0.00,$0.00,$66.79
